"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2019","63301 Coolock, D.M.R. Northern Division","Damage to property and to the environment","Number","406"
"Recorded Crime Offences Under Reservation","2019","63301 Coolock, D.M.R. Northern Division","Public order and other social code offences","Number","172"
"Recorded Crime Offences Under Reservation","2019","63301 Coolock, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","76"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","106"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Dangerous or negligent acts","Number","39"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","28"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Burglary and related offences","Number","219"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Theft and related offences","Number","459"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Fraud, deception and related offences","Number","45"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Controlled drug offences","Number","154"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Weapons and Explosives Offences","Number","20"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Damage to property and to the environment","Number","157"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Public order and other social code offences","Number","112"
"Recorded Crime Offences Under Reservation","2019","64101 Crumlin, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","24"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","106"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Dangerous or negligent acts","Number","17"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","11"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Burglary and related offences","Number","214"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Theft and related offences","Number","713"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Fraud, deception and related offences","Number","95"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Controlled drug offences","Number","43"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Weapons and Explosives Offences","Number","7"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Damage to property and to the environment","Number","106"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Public order and other social code offences","Number","239"
"Recorded Crime Offences Under Reservation","2019","61101 Donnybrook, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","5"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","19"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Dangerous or negligent acts","Number","10"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Burglary and related offences","Number","4"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Theft and related offences","Number","226"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Fraud, deception and related offences","Number","43"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Controlled drug offences","Number","20"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Weapons and Explosives Offences","Number","8"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Damage to property and to the environment","Number","33"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Public order and other social code offences","Number","98"
"Recorded Crime Offences Under Reservation","2019","63202 Dublin Airport, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","5"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","147"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Dangerous or negligent acts","Number","36"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","12"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Burglary and related offences","Number","216"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Theft and related offences","Number","696"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Fraud, deception and related offences","Number","77"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Controlled drug offences","Number","162"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","23"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Damage to property and to the environment","Number","196"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Public order and other social code offences","Number","217"
"Recorded Crime Offences Under Reservation","2019","65203 Dun Laoghaire, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","294"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","176"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Dangerous or negligent acts","Number","36"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","34"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Burglary and related offences","Number","314"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Theft and related offences","Number","1482"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Fraud, deception and related offences","Number","184"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Controlled drug offences","Number","211"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","32"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Damage to property and to the environment","Number","269"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Public order and other social code offences","Number","231"
"Recorded Crime Offences Under Reservation","2019","65102 Dundrum, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","20"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","241"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Dangerous or negligent acts","Number","79"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","54"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Burglary and related offences","Number","207"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Theft and related offences","Number","1156"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Fraud, deception and related offences","Number","116"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Controlled drug offences","Number","396"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Weapons and Explosives Offences","Number","62"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Damage to property and to the environment","Number","391"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Public order and other social code offences","Number","309"
"Recorded Crime Offences Under Reservation","2019","66103 Finglas, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","78"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","230"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Dangerous or negligent acts","Number","47"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","36"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Burglary and related offences","Number","100"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Theft and related offences","Number","548"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Fraud, deception and related offences","Number","71"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Controlled drug offences","Number","259"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Weapons and Explosives Offences","Number","46"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Damage to property and to the environment","Number","226"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Public order and other social code offences","Number","228"
"Recorded Crime Offences Under Reservation","2019","62202 Fitzgibbon Street, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","37"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","15"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Dangerous or negligent acts","Number","1"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Burglary and related offences","Number","18"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Theft and related offences","Number","12"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Fraud, deception and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Controlled drug offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Weapons and Explosives Offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Damage to property and to the environment","Number","4"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Public order and other social code offences","Number","10"
"Recorded Crime Offences Under Reservation","2019","63102 Garristown, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","2"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","75"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Dangerous or negligent acts","Number","19"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","19"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Burglary and related offences","Number","124"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Theft and related offences","Number","354"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Fraud, deception and related offences","Number","20"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Controlled drug offences","Number","63"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Weapons and Explosives Offences","Number","5"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Damage to property and to the environment","Number","117"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Public order and other social code offences","Number","62"
"Recorded Crime Offences Under Reservation","2019","63402 Howth, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","10"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","104"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Dangerous or negligent acts","Number","8"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","9"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Burglary and related offences","Number","138"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Theft and related offences","Number","564"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Fraud, deception and related offences","Number","64"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Controlled drug offences","Number","41"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Weapons and Explosives Offences","Number","6"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Damage to property and to the environment","Number","101"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Public order and other social code offences","Number","161"
"Recorded Crime Offences Under Reservation","2019","61102 Irishtown, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","16"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","308"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Dangerous or negligent acts","Number","59"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","91"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Burglary and related offences","Number","212"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Theft and related offences","Number","1401"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Fraud, deception and related offences","Number","102"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Controlled drug offences","Number","434"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Weapons and Explosives Offences","Number","38"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Damage to property and to the environment","Number","409"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Public order and other social code offences","Number","430"
"Recorded Crime Offences Under Reservation","2019","61301 Kevin Street, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","49"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","230"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Dangerous or negligent acts","Number","49"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","86"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Burglary and related offences","Number","197"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Theft and related offences","Number","843"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Fraud, deception and related offences","Number","58"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Controlled drug offences","Number","145"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Weapons and Explosives Offences","Number","31"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Damage to property and to the environment","Number","386"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Public order and other social code offences","Number","266"
"Recorded Crime Offences Under Reservation","2019","61302 Kilmainham, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","56"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","127"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Dangerous or negligent acts","Number","61"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","28"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Burglary and related offences","Number","237"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Theft and related offences","Number","516"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Fraud, deception and related offences","Number","74"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Controlled drug offences","Number","158"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Weapons and Explosives Offences","Number","11"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Damage to property and to the environment","Number","130"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Public order and other social code offences","Number","142"
"Recorded Crime Offences Under Reservation","2019","66301 Lucan, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","14"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","83"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Dangerous or negligent acts","Number","14"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","9"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Burglary and related offences","Number","57"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Theft and related offences","Number","449"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Fraud, deception and related offences","Number","22"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Controlled drug offences","Number","52"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Weapons and Explosives Offences","Number","8"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Damage to property and to the environment","Number","70"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Public order and other social code offences","Number","45"
"Recorded Crime Offences Under Reservation","2019","63103 Lusk, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","13"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Dangerous or negligent acts","Number","15"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","24"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Burglary and related offences","Number","171"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Theft and related offences","Number","354"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Fraud, deception and related offences","Number","28"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Controlled drug offences","Number","50"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Weapons and Explosives Offences","Number","4"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Damage to property and to the environment","Number","100"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Public order and other social code offences","Number","70"
"Recorded Crime Offences Under Reservation","2019","63302 Malahide, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","21"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","319"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Dangerous or negligent acts","Number","60"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","54"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Burglary and related offences","Number","185"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Theft and related offences","Number","858"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Fraud, deception and related offences","Number","104"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Controlled drug offences","Number","213"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Weapons and Explosives Offences","Number","37"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Damage to property and to the environment","Number","226"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Public order and other social code offences","Number","266"
"Recorded Crime Offences Under Reservation","2019","62203 Mountjoy, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","117"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","680"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Dangerous or negligent acts","Number","54"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","164"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Burglary and related offences","Number","433"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Theft and related offences","Number","4872"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Fraud, deception and related offences","Number","376"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Controlled drug offences","Number","684"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Weapons and Explosives Offences","Number","161"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Damage to property and to the environment","Number","346"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Public order and other social code offences","Number","2333"
"Recorded Crime Offences Under Reservation","2019","61202 Pearse Street, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","102"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","103"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Dangerous or negligent acts","Number","18"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","18"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Burglary and related offences","Number","104"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Theft and related offences","Number","265"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Fraud, deception and related offences","Number","21"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Controlled drug offences","Number","182"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Weapons and Explosives Offences","Number","13"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Damage to property and to the environment","Number","100"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Public order and other social code offences","Number","103"
"Recorded Crime Offences Under Reservation","2019","63403 Raheny, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","21"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","46"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Dangerous or negligent acts","Number","23"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","7"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Burglary and related offences","Number","173"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Theft and related offences","Number","417"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Fraud, deception and related offences","Number","24"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Controlled drug offences","Number","22"
"Recorded Crime Offences Under Reservation","2019","66203 Rathcoole, D.M.R. Western Division","Weapons and Explosives Offences","Number","1"
